# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	66314
#@/user_id	5a07802e-f501-4e1e-90d0-e1d0749305c3
a 	啊	c=201 d=0.985963 t=66314
ba ma 	爸媽	c=1 d=1.75276e-14 t=66314
ba zhan 	霸佔	c=1 d=1.66666e-39 t=66314
bai 	白	c=8 d=6.46583e-18 t=66314
bai 	百	c=3 d=0.0018734 t=66314
bai cai 	白菜	c=1 d=1.84294e-16 t=66314
bai du 	百度	c=43 d=0.0619636 t=66314
bai fen bi 	百分比	c=8 d=2.11405e-13 t=66314
bai fen dian 	百分點	c=1 d=1 t=56428
bai fen wei 	白分位	c=1 d=1 t=58484
bai ming 	白名	c=1 d=0.637944 t=28494
bai ming dan 	白名單	c=39 d=1 t=62438
bai nian 	百年	c=2 d=1.97531 t=40004
bai piao 	白嫖	c=2 d=1.92312 t=48042
bai se 	白色	c=9 d=7.89067e-08 t=66314
bai se 	百色	c=4 d=1.99501 t=56641
bai shan 	白山	c=9 d=1.68847 t=60232
bai shan yun 	白山雲	c=1 d=1 t=37156
ban 	半	c=11 d=1.14236e-07 t=66314
ban 	搬	c=4 d=1 t=52848
ban 	版	c=17 d=0.0100761 t=66314
ban 	班	c=4 d=1.10048e-07 t=66314
ban 	般	c=2 d=1 t=44723
ban 	辦	c=4 d=3.26421e-20 t=66314
ban ben 	版本	c=33 d=0.356792 t=66314
ban fa 	辦法	c=31 d=0.351462 t=66314
ban fan 	拌飯	c=2 d=1 t=42786
ban ge 	半個	c=2 d=3.3303e-36 t=66314
ban ge 	辦個	c=2 d=3.31369e-36 t=66314
ban ge xiao shi 	半個小時	c=1 d=1.09206e-36 t=66314
ban ge yue 	半個月	c=1 d=1 t=63612
ban gong 	辦公	c=6 d=1.02601e-08 t=66314
ban gong shi 	辦公室	c=2 d=9.09344e-30 t=66314
ban gong wang 	辦公網	c=23 d=0.694197 t=66314
ban ji 	班機	c=1 d=1 t=34823
ban jia 	搬家	c=1 d=1 t=59070
ban le 	搬了	c=1 d=1 t=26571
ban mian 	版面	c=2 d=1.00029 t=44322
ban nian 	半年	c=4 d=7.36097e-14 t=66314
ban ping 	扳平	c=1 d=1 t=39650
ban qian 	搬遷	c=5 d=1 t=62331
ban quan 	版權	c=1 d=1 t=61667
ban sheng 	伴生	c=4 d=2.24179e-19 t=66314
ban tian 	半天	c=2 d=0.0179571 t=66314
ban xiao shi 	半小時	c=2 d=1.8145e-31 t=66314
ban zhu ren 	班主任	c=1 d=1.49025e-17 t=66314
ban zhuan 	搬磚	c=1 d=1.80614e-14 t=66314
bang 	幫	c=4 d=1 t=66006
bang 	棒	c=1 d=9.053e-07 t=66314
bang 	綁	c=1 d=1 t=65573
bang bang 	棒棒	c=1 d=1.83462e-51 t=66314
bang ding 	綁定	c=4 d=5.10047e-09 t=66314
bang gong wang 	幫公網	c=1 d=1 t=57291
bang he 	綁核	c=23 d=2.64784 t=62589
bang mang 	幫忙	c=211 d=0.985112 t=66314
bang mang kan yi xia 	幫忙看一下	c=1 d=1 t=61322
bang ni 	幫你	c=3 d=1.00798e-29 t=66314
bang ta 	幫她	c=2 d=8.50929e-43 t=66314
bang wo 	幫我	c=2 d=1.05314e-43 t=66314
bang yue han 	棒約翰	c=2 d=3.2134e-31 t=66314
bang zhu 	幫助	c=1 d=1 t=58755
bao 	包	c=18 d=0.0072265 t=66314
bao 	報	c=9 d=4.53999e-05 t=66314
bao 	寶	c=122 d=0.0001834 t=66314
bao 	抱	c=1 d=8.46397e-39 t=66314
bao 	薄	c=1 d=1 t=51543
bao an 	保安	c=1 d=5.04819e-09 t=66314
bao an shi 	保安室	c=2 d=4.63328e-09 t=66314
bao bao 	寶寶	c=1 d=0.0015648 t=66314
bao bao 	抱抱	c=11 d=3.29482e-20 t=66314
bao biao 	報表	c=2 d=1.001 t=37544
bao chi 	保持	c=14 d=9.49581e-10 t=66314
bao cun 	保存	c=19 d=7.25984e-06 t=66314
bao cuo 	報錯	c=23 d=9.88117e-06 t=66314
bao dao 	報道	c=1 d=1 t=49597
bao fei 	報廢	c=33 d=1.99416 t=51946
bao gao 	報告	c=2 d=4.82237e-09 t=66314
bao guo 	報過	c=1 d=1 t=24537
bao han 	包含	c=50 d=1.69845e-05 t=66314
bao han le 	包含了	c=1 d=1.15282e-26 t=66314
bao han zai 	包含在	c=1 d=0.000153011 t=66314
bao he 	飽和	c=1 d=1 t=47481
bao hu 	保護	c=4 d=2.12429e-11 t=66314
bao jian 	包間	c=4 d=1.99012 t=63075
bao jing 	報警	c=45 d=0.477874 t=66314
bao kan 	報刊	c=2 d=4.698e-26 t=66314
bao kuo 	包括	c=15 d=0.00683978 t=66314
bao lei 	堡壘	c=0 d=0.1 t=25626
bao lei ji 	堡壘機	c=1 d=1 t=25627
bao liu 	保留	c=22 d=0.00104891 t=66314
bao lu 	暴露	c=1 d=1 t=50990
bao ming 	報名	c=2 d=1.59549e-18 t=66314
bao qi lai 	包起來	c=1 d=4.48231e-31 t=66314
bao tou 	抱頭	c=1 d=1.05521e-44 t=66314
bao xian 	保險	c=1 d=5.14449e-05 t=66314
bao xiao 	報銷	c=3 d=9.30977e-05 t=66314
bao xiu 	保修	c=3 d=2.70946 t=52143
bao xiu 	報修	c=1 d=1 t=52119
bao zhang 	保障	c=8 d=0.00232276 t=66314
bao zhang 	暴漲	c=1 d=3.52902e-12 t=66314
bao zheng 	保證	c=20 d=1.39192e-08 t=66314
bao zhi 	報紙	c=2 d=1 t=61755
bao zhuang 	包裝	c=1 d=1 t=51066
bao zi 	包子	c=4 d=3.00407e-29 t=66314
bao zi 	寶子	c=1 d=1 t=43721
bao zou 	爆揍	c=1 d=9.40583e-45 t=66314
bei 	倍	c=3 d=2.14264e-44 t=66314
bei 	備	c=1 d=1 t=44253
bei 	唄	c=8 d=5.96973e-20 t=66314
bei 	背	c=4 d=1.26182e-26 t=66314
bei 	被	c=104 d=2.98158 t=66314
bei ban 	背板	c=2 d=1.97045 t=49111
bei bi 	被逼	c=1 d=1 t=39124
bei da man 	被打滿	c=1 d=1 t=34351
bei fen 	備份	c=34 d=9.33364e-05 t=66314
bei feng 	被封	c=1 d=1.56741e-52 t=66314
bei guan 	悲觀	c=1 d=1 t=54261
bei jing 	北京	c=2 d=1 t=53691
bei jing 	背景	c=14 d=0.000235217 t=66314
bei ma 	被罵	c=1 d=9.18639e-32 t=66314
bei ni 	被你	c=1 d=1 t=28285
bei reng diao le 	被扔掉了	c=1 d=1 t=30653
bei shan 	被刪	c=1 d=1 t=56865
bei si 	貝斯	c=3 d=1 t=39903
bei wang 	備忘	c=7 d=1 t=53300
bei wei 	卑微	c=1 d=1.18281e-34 t=66314
bei yong 	備用	c=3 d=1 t=47739
bei zhe 	背着	c=1 d=1.70443e-38 t=66314
bei zhu 	備註	c=5 d=5.76539e-22 t=66314
ben 	本	c=2 d=0.00166989 t=66314
ben di 	本地	c=33 d=0.000746586 t=66314
ben ji 	本機	c=7 d=9.45549e-11 t=66314
ben lai 	本來	c=7 d=0.000611253 t=66314
ben lai jiu 	本來就	c=1 d=1 t=60787
ben shen 	本身	c=5 d=2.5371e-12 t=66314
ben zhou 	本週	c=1 d=1 t=33441
beng bu 	蚌埠	c=1 d=1 t=54027
beng di 	蹦迪	c=1 d=3.70026e-40 t=66314
beng ku 	泵庫	c=1 d=1 t=49076
beng kui 	崩潰	c=2 d=1.70822 t=49146
bi 	比	c=20 d=0.00660869 t=66314
bi 	逼	c=2 d=1.07172 t=31224
bi a zhuan 	比啊轉	c=1 d=1 t=42433
bi guan 	閉關	c=3 d=2.87451 t=35322
bi ji 	筆記	c=1 d=1.76269e-51 t=66314
bi ji ben 	筆記本	c=2 d=1 t=64448
bi jia 	比價	c=1 d=1.23154e-09 t=66314
bi jian 	必剪	c=24 d=1.59258 t=66136
bi jiao 	比較	c=42 d=0.412714 t=66314
bi jiao chang 	比較長	c=2 d=4.5932e-11 t=66314
bi jiao da 	比較大	c=2 d=1 t=61271
bi jiao duo 	比較多	c=5 d=9.33008e-13 t=66314
bi jiao le 	比較了	c=1 d=3.44072e-08 t=66314
bi jiao man 	比較慢	c=1 d=1.034e-11 t=66314
bi jiao xiao 	比較小	c=1 d=8.29947e-14 t=66314
bi jing 	畢竟	c=5 d=3.00672e-10 t=66314
bi li 	比例	c=9 d=1 t=59825
bi mian 	避免	c=11 d=0.000626733 t=66314
bi ni 	比你	c=0 d=1.39263e-15 t=66314
bi ni 	逼你	c=1 d=1 t=30701
bi ru 	比如	c=16 d=0.00635673 t=66314
bi tian 	必填	c=1 d=1 t=50222
bi wo 	比我	c=3 d=1.42076e-14 t=66314
bi xu 	必須	c=15 d=2.40051e-09 t=66314
bi xu chuan 	必須傳	c=1 d=1 t=62806
bi yao 	必要	c=4 d=2.00364e-29 t=66314
bi ye 	畢業	c=2 d=1.99005 t=54942
bi zhe 	逼着	c=1 d=9.78968e-45 t=66314
bian 	變	c=15 d=0.00360656 t=66314
bian 	遍	c=0 d=1.91249e-41 t=66314
bian 	邊	c=15 d=1.0002 t=65066
bian chang 	變長	c=1 d=1 t=27419
bian cheng 	變成	c=5 d=0.228779 t=66314
bian chuan 	變傳	c=2 d=0.229925 t=66314
bian chuan 	邊傳	c=42 d=1 t=64976
bian chuan bian zhuan 	邊傳邊轉	c=4 d=0.23569 t=66314
bian dong 	變動	c=6 d=1.94046e-05 t=66314
bian duo le 	變多了	c=1 d=1 t=32084
bian geng 	變更	c=9 d=0.000388994 t=66314
bian hua 	變化	c=22 d=0.509156 t=66314
bian ji 	編輯	c=13 d=2.54878e-21 t=66314
bian le 	變了	c=3 d=0.0699482 t=66314
bian li 	便利	c=1 d=1.19551e-42 t=66314
bian li 	遍歷	c=13 d=1.38112e-34 t=66314
bian li tie 	便利貼	c=1 d=1 t=33652
bian li xing 	便利性	c=1 d=1 t=45245
bian liang 	變量	c=2 d=1.64212e-41 t=66314
bian ma 	編碼	c=1 d=1 t=27398
bian man 	變慢	c=3 d=1.43842e-11 t=66314
bian pai 	編排	c=1 d=1 t=28224
bian sheng 	變聲	c=0 d=0.1 t=65195
bian sheng qi 	變聲器	c=5 d=3.10146 t=65396
bian sheng qi 	變聲期	c=1 d=1 t=64906
bian tai 	變態	c=0 d=0.199501 t=38677
bian wei 	變爲	c=1 d=1.88562e-50 t=66314
bian xie 	編寫	c=3 d=0.000249763 t=66314
bian yi 	編譯	c=3 d=2.19234e-29 t=66314
bian yi 	變異	c=1 d=1 t=45880
bian yu 	便於	c=4 d=0.0296541 t=66314
bian yuan 	邊緣	c=1 d=1 t=38321
bian zhuan 	邊轉	c=20 d=1 t=51351
biao 	標	c=2 d=1.13604e-30 t=66314
biao 	表	c=11 d=0.000292739 t=66314
biao bai 	表白	c=1 d=3.08379e-43 t=66314
biao da 	表達	c=1 d=0.000515692 t=66314
biao da shi 	表達式	c=4 d=1.49744e-07 t=66314
biao ge 	表格	c=5 d=2.17765e-24 t=66314
biao ji 	標記	c=1 d=1.01615e-12 t=66314
biao jie 	表姐	c=3 d=2.69629 t=26410
biao ming 	表明	c=1 d=2.6584e-32 t=66314
biao qian 	標籤	c=3 d=1 t=58325
biao qing 	表情	c=2 d=5.76735e-26 t=66314
biao qing bao 	表情寶	c=1 d=1 t=37401
biao shi 	標識	c=5 d=2.27813e-30 t=66314
biao shi 	表示	c=6 d=0.000121572 t=66314
biao ti 	標題	c=1 d=1 t=28380
biao zhi 	標誌	c=3 d=1.06259e-30 t=66314
biao zhun 	標準	c=7 d=1 t=59536
biao zhun cha 	標準差	c=1 d=1 t=41427
bie 	別	c=12 d=1.74745 t=66314
bie a 	別啊	c=2 d=7.24351e-23 t=66314
bie de 	別的	c=34 d=0.596907 t=66314
bie gao 	別搞	c=1 d=1 t=36303
bie ku 	別哭	c=6 d=1.99922 t=59055
bie mai 	別買	c=1 d=5.63376e-15 t=66314
bie ren 	別人	c=18 d=2.48086e-13 t=66314
bie ren de 	別人的	c=2 d=6.43228e-45 t=66314
bie xia 	別下	c=1 d=1 t=59023
bie zhe yang 	別這樣	c=1 d=1 t=36306
bie zou 	別走	c=1 d=8.0181e-20 t=66314
bin fa 	鬢髮	c=1 d=1 t=59184
bing 	並	c=30 d=0.000258662 t=66314
bing 	病	c=1 d=1 t=46243
bing fa 	併發	c=16 d=3.05954e-09 t=66314
bing fei 	並非	c=1 d=2.5493e-39 t=66314
bing gan 	餅乾	c=1 d=1 t=31204
bing mei you 	並沒有	c=4 d=2.22282e-15 t=66314
bing pai 	並排	c=3 d=1.30722e-22 t=66314
bing qie 	並且	c=3 d=1.42565e-25 t=66314
bing xiang 	冰箱	c=2 d=1 t=40802
bing xiang li 	冰箱裏	c=1 d=1.54119e-30 t=66314
bing xing 	並行	c=20 d=3.56032e-05 t=66314
bing yan 	冰顏	c=7 d=1.00362 t=57447
bo 	播	c=2 d=1 t=54176
bo 	波	c=3 d=1.618e-15 t=66314
bo ce 	撥測	c=2 d=2.29903e-51 t=66314
bo che 	泊車	c=1 d=1.15223e-20 t=66314
bo dong 	波動	c=13 d=0.0374406 t=66314
bo fang 	播放	c=20 d=5.43715e-07 t=66314
bo fang qi 	播放器	c=8 d=4.24205e-27 t=66314
bo tong 	撥通	c=1 d=2.01512e-08 t=66314
bu 	不	c=209 d=1.01581 t=66314
bu 	步	c=0 d=1.00792e-35 t=66314
bu 	補	c=7 d=1.96079 t=52443
bu 	部	c=3 d=1.51214e-11 t=66314
bu ai 	不愛	c=2 d=0.00184551 t=66314
bu ba 	不把	c=1 d=1 t=56066
bu bang ding 	不綁定	c=1 d=5.02944e-33 t=66314
bu bao han 	不包含	c=1 d=1.12727e-27 t=66314
bu bi yao 	不必要	c=2 d=1 t=56432
bu bian 	不變	c=6 d=1.36644e-26 t=66314
bu bian geng 	不變更	c=2 d=1 t=53308
bu chai fen 	不拆分	c=1 d=7.00912e-26 t=66314
bu chang 	補償	c=2 d=1.98511 t=51997
bu chao guo 	不超過	c=1 d=2.93908e-07 t=66314
bu cheng xu 	不程序	c=1 d=1 t=54219
bu chi 	不吃	c=2 d=7.57692e-23 t=66314
bu chong 	不衝	c=1 d=1 t=37738
bu chong 	補充	c=10 d=1.09704e-06 t=66314
bu chong shi 	不重視	c=1 d=1 t=48626
bu chong tu 	不衝突	c=1 d=1 t=44882
bu chu fa 	不觸發	c=1 d=1 t=51262
bu chu lai 	不出來	c=4 d=8.1673e-31 t=66314
bu chu li 	不處理	c=2 d=4.96569e-30 t=66314
bu chuan 	不穿	c=3 d=1 t=43652
bu chuan dao 	不傳到	c=1 d=1 t=34645
bu chuang ke tie 	不創可貼	c=1 d=1 t=34807
bu cun zai 	不存在	c=11 d=2.05368e-38 t=66314
bu cuo 	不錯	c=13 d=0.995012 t=66314
bu da 	不大	c=19 d=0.0452836 t=66314
bu dai 	不帶	c=3 d=1 t=48585
bu dai biao 	不代表	c=1 d=2.8087e-32 t=66314
bu dao 	不到	c=11 d=2.93149e-06 t=66314
bu di 	不敵	c=1 d=2.09915e-18 t=66314
bu diao 	不掉	c=0 d=0.1 t=36311
bu ding 	補丁	c=0 d=1.56315e-21 t=66314
bu diu 	不丟	c=1 d=1 t=25941
bu dong 	不動	c=2 d=5.38494e-13 t=66314
bu dui 	不對	c=9 d=1.11685e-06 t=66314
bu duo 	不多	c=6 d=0.0890339 t=66314
bu duo de 	不多的	c=1 d=1 t=50154
bu fa 	不發	c=1 d=1 t=42200
bu fa 	步伐	c=2 d=1.99005 t=42199
bu fang bian 	不方便	c=1 d=1.73863e-07 t=66314
bu fang ru 	不放入	c=1 d=1 t=44186
bu fen 	部分	c=39 d=0.0181435 t=66314
bu fu 	不符	c=1 d=1 t=53385
bu fu he 	不符合	c=1 d=1 t=47284
bu gai 	不該	c=2 d=1 t=64827
bu gan 	不敢	c=0 d=3.69712e-31 t=66314
bu gan shuo hua 	不敢說話	c=1 d=3.71565e-30 t=66314
bu gao 	不高	c=6 d=7.94775e-08 t=66314
bu gao xing 	不高興	c=1 d=4.5454e-19 t=66314
bu gei 	不給	c=2 d=1 t=46229
bu gei 	補給	c=1 d=1 t=24903
bu gou 	不夠	c=9 d=1.21655e-12 t=66314
bu gou xuan 	不勾選	c=1 d=1 t=50642
bu gu 	布穀	c=0 d=8.25781e-44 t=66314
bu gu bu gu 	布穀布穀	c=1 d=8.2992e-43 t=66314
bu gu ding 	不固定	c=1 d=1 t=25141
bu guan 	不管	c=5 d=5.73561e-22 t=66314
bu guan la 	不管啦	c=1 d=1 t=56993
bu guan le 	不管了	c=4 d=1 t=63509
bu guan ta 	不管她	c=1 d=7.80791e-31 t=66314
bu gui 	不貴	c=1 d=1 t=49087
bu guo 	不過	c=25 d=0.0134345 t=66314
bu guo qi 	不過期	c=1 d=1 t=34842
bu hai shi 	不害事	c=1 d=1 t=31956
bu hao 	不好	c=9 d=8.09731e-18 t=66314
bu hao gai 	不好改	c=1 d=1 t=25456
bu hao kan 	不好看	c=1 d=1.04745e-16 t=66314
bu hao le 	不好了	c=1 d=1 t=56058
bu hao le 	補好了	c=2 d=1 t=56057
bu hao shi 	不好使	c=1 d=7.32799e-20 t=66314
bu hao yi si 	不好意思	c=2 d=5.657e-34 t=66314
bu he 	不喝	c=1 d=1 t=47598
bu he fa 	不合法	c=1 d=2.75121e-24 t=66314
bu he shi 	不合適	c=1 d=2.43166e-42 t=66314
bu huan 	不還	c=3 d=0.900325 t=66314
bu huan le 	不還了	c=1 d=7.33049e-24 t=66314
bu huang 	不慌	c=3 d=1.99501 t=61591
bu hui 	不回	c=1 d=3.65336e-37 t=66314
bu hui 	不會	c=65 d=2.84159 t=66314
bu hui a 	不會啊	c=1 d=1.84194e-39 t=66314
bu hui de 	不會的	c=1 d=1 t=51801
bu hui jia 	不回家	c=1 d=1 t=27270
bu hui zai 	不會再	c=1 d=1 t=26725
bu ji 	不急	c=4 d=5.22223e-06 t=66314
bu ji de 	不記得	c=2 d=2.15302e-22 t=66314
bu jia 	不加	c=7 d=0.000111319 t=66314
bu jia su 	不加速	c=1 d=1 t=52041
bu jia zhong 	不加重	c=1 d=1 t=39508
bu jian 	不見	c=1 d=5.69813e-31 t=66314
bu jian quan 	不鑑權	c=2 d=1 t=65989
bu jiang 	不講	c=1 d=1 t=24727
bu jie 	不借	c=1 d=1.63499e-23 t=66314
bu jie xi 	不解析	c=1 d=1 t=59993
bu jin ji 	不緊急	c=2 d=4.1018e-09 t=66314
bu jiu 	不久	c=1 d=7.45141e-40 t=66314
bu ju 	佈局	c=3 d=1.33498e-22 t=66314
bu jun 	不均	c=4 d=1.00002 t=65500
bu jun heng 	不均衡	c=5 d=1.0001 t=41343
bu ka 	不卡	c=1 d=1 t=49280
bu kai 	不開	c=1 d=1 t=61283
bu kai xin 	不開心	c=1 d=9.00602e-34 t=66314
bu kao lv 	不考慮	c=3 d=1 t=51432
bu ke 	不可	c=1 d=1 t=36228
bu ke neng 	不可能	c=3 d=3.65765e-23 t=66314
bu ke yi 	不可以	c=2 d=1.06582e-44 t=66314
bu ke yong 	不可用	c=4 d=1 t=44471
bu ken 	不肯	c=0 d=1.12126e-24 t=66314
bu ken neng 	不肯能	c=1 d=1.12688e-23 t=66314
bu ku 	不哭	c=47 d=6.01268e-07 t=66314
bu le 	不了	c=1 d=1.03682e-43 t=66314
bu li 	不理	c=1 d=8.57554e-46 t=66314
bu li yu 	不利於	c=1 d=1.44047e-29 t=66314
bu liang 	不亮	c=0 d=1.76515e-39 t=66314
bu liao 	不了	c=20 d=0.0321422 t=66314
bu ling 	不領	c=1 d=1 t=42257
bu lou 	補漏	c=1 d=1 t=35714
bu mai 	不買	c=4 d=4.3327e-15 t=66314
bu mai le 	不買了	c=1 d=5.21391e-45 t=66314
bu mang 	不忙	c=2 d=2.05793e-20 t=66314
bu men 	部門	c=1 d=1 t=65366
bu ming xian 	不明顯	c=3 d=1.01222 t=61942
bu nan 	不難	c=1 d=3.73046e-18 t=66314
bu nan guo 	不難過	c=1 d=2.3909e-49 t=66314
bu neng 	不能	c=71 d=0.0176864 t=66314
bu neng tui 	不能退	c=1 d=8.45677e-29 t=66314
bu ou 	布偶	c=0 d=0.1 t=44447
bu ou tai na ge 	布偶臺那個	c=1 d=1 t=44448
bu pa 	不怕	c=5 d=6.60094e-26 t=66314
bu pang 	不胖	c=1 d=1 t=53927
bu pi pei 	不匹配	c=1 d=1.36292e-25 t=66314
bu piao 	補票	c=2 d=2.5119e-31 t=66314
bu qi 	不起	c=0 d=6.62254e-36 t=66314
bu qian 	不遷	c=1 d=3.79652e-48 t=66314
bu qian yi 	不遷移	c=1 d=1 t=63459
bu qie 	不切	c=2 d=1.82283 t=30245
bu qin quan 	不侵權	c=1 d=1 t=45083
bu qing 	不清	c=1 d=0.000223746 t=66314
bu qing chu 	不清楚	c=18 d=0.0132769 t=66314
bu qing xi 	不清晰	c=1 d=1 t=30822
bu qu fen 	不區分	c=1 d=1 t=44472
bu quan 	不全	c=3 d=1 t=45745
bu quan 	補全	c=1 d=1 t=37103
bu que 	補缺	c=0 d=7.45522e-47 t=66314
bu que ding 	不確定	c=7 d=7.39661e-12 t=66314
bu ran 	不然	c=20 d=9.47499e-07 t=66314
bu rang 	不讓	c=3 d=1.09841e-36 t=66314
bu rang ni 	不讓你	c=1 d=1 t=27260
bu ren shi 	不認識	c=1 d=1 t=27083
bu rong yi 	不容易	c=0 d=0.1 t=52912
bu ru 	不如	c=1 d=2.33997e-31 t=66314
bu sao miao 	不掃描	c=1 d=1 t=44177
bu sha 	不傻	c=1 d=8.97207e-19 t=66314
bu shang 	不上	c=2 d=0.000790705 t=66314
bu shao 	不少	c=2 d=1 t=52203
bu sheng qi 	不生氣	c=2 d=8.54295e-23 t=66314
bu sheng xiao 	不生效	c=2 d=1.09976 t=37101
bu shi 	不是	c=157 d=1.29865 t=66314
bu shi ba 	不是吧	c=3 d=7.1359e-31 t=66314
bu shi dang 	不適當	c=7 d=0.360595 t=66314
bu shi he 	不適合	c=1 d=1 t=50697
bu shou 	不受	c=2 d=1 t=57157
bu shu 	部署	c=94 d=2.23772 t=66314
bu shu dao 	部署到	c=1 d=4.88828e-51 t=66314
bu shu fu 	不舒服	c=2 d=3.00458e-31 t=66314
bu shu le 	部署了	c=1 d=1 t=60298
bu shu zai 	部署在	c=1 d=1 t=44363
bu shui 	不睡	c=1 d=6.25514e-40 t=66314
bu shuo 	不說	c=1 d=1 t=31996
bu suan 	不算	c=3 d=2.50836e-25 t=66314
bu tai 	不太	c=44 d=0.336216 t=66314
bu tai dui 	不太對	c=2 d=8.89944e-41 t=66314
bu tai hao 	不太好	c=2 d=1.33802e-14 t=66314
bu tai xiang 	不太想	c=1 d=1 t=40632
bu tai yi yang 	不太一樣	c=1 d=1 t=28575
bu tan qi 	不嘆氣	c=1 d=9.15332e-19 t=66314
bu ti jiao 	不提交	c=1 d=1 t=31122
bu tiao 	不調	c=1 d=1 t=39879
bu tong 	不同	c=68 d=0.0236356 t=66314
bu tong 	不通	c=6 d=2.02522e-08 t=66314
bu tong guo 	不通過	c=1 d=5.86748e-52 t=66314
bu tong ming 	不同名	c=1 d=1 t=49031
bu wei 	不爲	c=1 d=1 t=54906
bu wei 	部位	c=1 d=1 t=54905
bu wei kong 	不爲空	c=1 d=1 t=53440
bu wen 	不穩	c=1 d=6.48919e-32 t=66314
bu wen ding 	不穩定	c=1 d=5.43703e-38 t=66314
bu xi huan 	不喜歡	c=1 d=1 t=32579
bu xia 	不下	c=2 d=0.0221482 t=66314
bu xiang 	不像	c=1 d=1 t=35456
bu xiang 	不想	c=8 d=4.52196e-17 t=66314
bu xiao 	不小	c=1 d=1 t=60729
bu xin 	不信	c=1 d=1 t=33611
bu xin ku 	不辛苦	c=2 d=1 t=42541
bu xing 	不行	c=22 d=0.697816 t=66314
bu xiu 	不休	c=1 d=1 t=26791
bu xu 	不許	c=4 d=7.66398e-18 t=66314
bu xu fa 	不許發	c=1 d=8.13486e-43 t=66314
bu xu yao 	不需要	c=55 d=0.0536647 t=66314
bu xu yao de 	不需要的	c=1 d=7.81323e-39 t=66314
bu yao 	不要	c=36 d=0.128225 t=66314
bu yao jin 	不要緊	c=1 d=1 t=65486
bu yao lian 	不要臉	c=0 d=2.95221e-31 t=66314
bu yao pa 	不要怕	c=1 d=1 t=61180
bu yi ding 	不一定	c=7 d=1.82955e-15 t=66314
bu yi lai 	不依賴	c=1 d=1 t=29396
bu yi xiang 	不一項	c=1 d=1.03347e-05 t=66314
bu yi yang 	不一樣	c=18 d=0.00108091 t=66314
bu yi zhi 	不一致	c=5 d=0.00019549 t=66314
bu yi zhi de 	不一致的	c=1 d=1 t=30087
bu ying 	不應	c=1 d=2.92632e-44 t=66314
